Animate Dead,Black,Enchantment  Aura,{1}{B},"Enchant creature card in a graveyard
When Animate Dead enters the battlefield, if it's on the battlefield, it loses ""enchant creature card in a graveyard"" and gains ""enchant creature put onto the battlefield with Animate Dead."" Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.
Enchanted creature gets -1/-0.",,,0,0,1,1,http://mtgimage.com/card/animate dead.jpg
Annihilate,Black,Instant,{3}{B}{B},"Destroy target nonblack creature. It can't be regenerated.
Draw a card.",,,0,0,1,1,http://mtgimage.com/card/annihilate.jpg
"Anowon, the Ruin Sage",Black,Legendary Creature  Vampire Shaman,{3}{B}{B},"At the beginning of your upkeep, each player sacrifices a non-Vampire creature.",4,3,1,0,1,1,"http://mtgimage.com/card/anowon, the ruin sage.jpg"
Anurid Murkdiver,Black,Creature  Zombie Frog Beast,{4}{B}{B},Swampwalk,4,3,0,0,1,1,http://mtgimage.com/card/anurid murkdiver.jpg
Aphetto Dredging,Black,Sorcery,{3}{B},Return up to three target creature cards of the creature type of your choice from your graveyard to your hand.,,,0,0,1,1,http://mtgimage.com/card/aphetto dredging.jpg
Aphetto Exterminator,Black,Creature  Human Wizard,{2}{B},"Morph {3}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When Aphetto Exterminator is turned face up, target creature gets -3/-3 until end of turn.",3,1,0,0,1,1,http://mtgimage.com/card/aphetto exterminator.jpg
Aphetto Vulture,Black,Creature  Zombie Bird,{4}{B}{B},"Flying
When Aphetto Vulture dies, you may put target Zombie card from your graveyard on top of your library.",3,2,0,0,1,1,http://mtgimage.com/card/aphetto vulture.jpg
Aphotic Wisps,Black,Instant,{B},"Target creature becomes black and gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)
Draw a card.",,,1,0,1,1,http://mtgimage.com/card/aphotic wisps.jpg
Appetite for Brains,Black,Sorcery,{B},Target opponent reveals his or her hand. You choose a card from it with converted mana cost 4 or greater and exile that card.,,,1,0,1,1,http://mtgimage.com/card/appetite for brains.jpg
Apprentice Necromancer,Black,Creature  Zombie Wizard,{1}{B},"{B}, {T}, Sacrifice Apprentice Necromancer: Return target creature card from your graveyard to the battlefield. That creature gains haste. At the beginning of the next end step, sacrifice it.",1,1,0,0,1,1,http://mtgimage.com/card/apprentice necromancer.jpg
Archdemon of Greed,Black,Creature  Demon,,"Flying, trample
At the beginning of your upkeep, sacrifice a Human. If you can't, tap Archdemon of Greed and it deals 9 damage to you.",9,9,1,0,1,1,http://mtgimage.com/card/archdemon of greed.jpg
Archdemon of Unx,Black,Creature  Demon,{5}{B}{B},"Flying, trample
At the beginning of your upkeep, sacrifice a non-Zombie creature, then put a 2/2 black Zombie creature token onto the battlefield.",6,6,1,0,1,1,http://mtgimage.com/card/archdemon of unx.jpg
Archetype of Finality,Black,Enchantment Creature  Gorgon,{4}{B}{B},"Creatures you control have deathtouch.
Creatures your opponents control lose deathtouch and can't have or gain deathtouch.",2,3,1,1,1,1,http://mtgimage.com/card/archetype of finality.jpg
Archfiend of Depravity,Black,Creature  Demon,{3}{B}{B},"Flying
At the beginning of each opponent's end step, that player chooses up to two creatures he or she controls, then sacrifices the rest.",5,4,1,1,1,1,http://mtgimage.com/card/archfiend of depravity.jpg
Armor Thrull,Black,Creature  Thrull,{2}{B},"{T}, Sacrifice Armor Thrull: Put a +1/+2 counter on target creature.",1,3,0,0,1,1,http://mtgimage.com/card/armor thrull.jpg
Army of the Damned,Black,Sorcery,{5}{B}{B}{B},"Put thirteen 2/2 black Zombie creature tokens onto the battlefield tapped.
Flashback {7}{B}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,1,0,1,1,http://mtgimage.com/card/army of the damned.jpg
Arrogant Bloodlord,Black,Creature  Vampire Knight,{1}{B}{B},"Whenever Arrogant Bloodlord blocks or becomes blocked by a creature with power 1 or less, destroy Arrogant Bloodlord at end of combat.",4,4,1,0,1,1,http://mtgimage.com/card/arrogant bloodlord.jpg
Arrogant Vampire,Black,Creature  Vampire,{3}{B}{B},Flying,4,3,0,0,1,1,http://mtgimage.com/card/arrogant vampire.jpg
Artifact Possession,Black,Enchantment  Aura,{2}{B},"Enchant artifact
Whenever enchanted artifact becomes tapped or a player activates an ability of enchanted artifact without {T} in its activation cost, Artifact Possession deals 2 damage to that artifact's controller.",,,0,0,1,1,http://mtgimage.com/card/artifact possession.jpg
Artificer's Hex,Black,Enchantment  Aura,{B},"Enchant Equipment
At the beginning of your upkeep, if enchanted Equipment is attached to a creature, destroy that creature.",,,1,0,1,1,http://mtgimage.com/card/artificer's hex.jpg
Ascendant Evincar,Black,Legendary Creature  Vampire,{4}{B}{B},"Flying (This creature can't be blocked except by creatures with flying or reach.)
Other black creatures get +1/+1.
Nonblack creatures get -1/-1.",3,3,1,0,1,1,http://mtgimage.com/card/ascendant evincar.jpg
Ashen Ghoul,Black,Creature  Zombie,{3}{B},"Haste
{B}: Return Ashen Ghoul from your graveyard to the battlefield. Activate this ability only during your upkeep and only if three or more creature cards are above Ashen Ghoul.",3,1,0,0,1,1,http://mtgimage.com/card/ashen ghoul.jpg
Ashen Powder,Black,Sorcery,{2}{B}{B},Put target creature card from an opponent's graveyard onto the battlefield under your control.,,,0,0,1,1,http://mtgimage.com/card/ashen powder.jpg
Ashen-Skin Zubera,Black,Creature  Zubera Spirit,{1}{B},"When Ashen-Skin Zubera dies, target opponent discards a card for each Zubera that died this turn.",1,2,1,0,1,1,http://mtgimage.com/card/ashen-skin zubera.jpg
Ashenmoor Cohort,Black,Creature  Elemental Warrior,{5}{B},Ashenmoor Cohort gets +1/+1 as long as you control another black creature.,4,3,1,0,1,1,http://mtgimage.com/card/ashenmoor cohort.jpg
Ashes to Ashes,Black,Sorcery,{1}{B}{B},Exile two target nonartifact creatures. Ashes to Ashes deals 5 damage to you.,,,0,0,1,1,http://mtgimage.com/card/ashes to ashes.jpg
Ashiok's Adept,Black,Creature  Human Wizard,{2}{B},"Heroic  Whenever you cast a spell that targets Ashiok's Adept, each opponent discards a card.",1,3,1,1,1,1,http://mtgimage.com/card/ashiok's adept.jpg
"Ashling, the Extinguisher",Black,Legendary Creature  Elemental Shaman,{2}{B}{B},"Whenever Ashling, the Extinguisher deals combat damage to a player, choose target creature that player controls. He or she sacrifices that creature.",4,4,1,0,1,1,"http://mtgimage.com/card/ashling, the extinguisher.jpg"
Aspect of Gorgon,Black,Enchantment  Aura,{2}{B},"Enchant creature
Enchanted creature gets +1/+3 and has deathtouch. (Any amount of damage it deals to a creature is enough to destroy it.)",,,1,1,1,1,http://mtgimage.com/card/aspect of gorgon.jpg
Asphodel Wanderer,Black,Creature  Skeleton Soldier,{B},{2}{B}: Regenerate Asphodel Wanderer.,1,1,1,1,1,1,http://mtgimage.com/card/asphodel wanderer.jpg
Asphyxiate,Black,Sorcery,{1}{B}{B},Destroy target untapped creature.,,,1,1,1,1,http://mtgimage.com/card/asphyxiate.jpg
Assassin's Blade,Black,Instant,{1}{B},"Cast Assassin's Blade only during the declare attackers step and only if you've been attacked this step.
Destroy target nonblack attacking creature.",,,0,0,1,1,http://mtgimage.com/card/assassin's blade.jpg
Assassin's Strike,Black,Sorcery,{4}{B}{B},Destroy target creature. Its controller discards a card.,,,1,0,1,1,http://mtgimage.com/card/assassin's strike.jpg
Assassinate,Black,Sorcery,{2}{B},Destroy target tapped creature.,,,1,0,1,1,http://mtgimage.com/card/assassinate.jpg
Attrition,Black,Enchantment,{1}{B}{B},"{B}, Sacrifice a creature: Destroy target nonblack creature.",,,0,0,1,1,http://mtgimage.com/card/attrition.jpg
Augur of Skulls,Black,Creature  Skeleton Wizard,{1}{B},"{1}{B}: Regenerate Augur of Skulls.
Sacrifice Augur of Skulls: Target player discards two cards. Activate this ability only during your upkeep.",1,1,1,0,1,1,http://mtgimage.com/card/augur of skulls.jpg
Auntie's Snitch,Black,Creature  Goblin Rogue,{2}{B},"Auntie's Snitch can't block.
Prowl {1}{B} (You may cast this for its prowl cost if you dealt combat damage to a player this turn with a Goblin or Rogue.)
Whenever a Goblin or Rogue you control deals combat damage to a player, if Auntie's Snitch is in your graveyard, you may return Auntie's Snitch to your hand.",3,1,1,0,1,1,http://mtgimage.com/card/auntie's snitch.jpg
Avatar of Woe,Black,Creature  Avatar,{6}{B}{B},"If there are ten or more creature cards total in all graveyards, Avatar of Woe costs {6} less to cast.
Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
{T}: Destroy target creature. It can't be regenerated.",6,5,1,0,1,1,http://mtgimage.com/card/avatar of woe.jpg
Away,Black,Instant,{2}{B},"Target player sacrifices a creature.
Fuse (You may cast one or both halves of this card from your hand.)",,,1,0,1,1,http://mtgimage.com/card/away.jpg
B.F.M. (Big Furry Monster),Black,Scariest Creature You'll Ever See,{B}{B}{B}{B}{B}{B}{B}{B}{B}{B}{B}{B}{B}{B}{B},"B.F.M. into play. If either B.F.M. card
more creatures.",99,99,0,0,0,0,http://mtgimage.com/card/b.f.m. (big furry monster).jpg
Bad Ass,Black,Creature  Donkey Zombie,{2}{B}{B},"{1}{B}, Growl: Regenerate Bad Ass.",3.5,1,0,0,0,0,http://mtgimage.com/card/bad ass.jpg
Bad Moon,Black,Enchantment,{1}{B},Black creatures get +1/+1.,,,1,0,1,1,http://mtgimage.com/card/bad moon.jpg
Bala Ged Scorpion,Black,Creature  Scorpion,{3}{B},"When Bala Ged Scorpion enters the battlefield, you may destroy target creature with power 1 or less.",2,3,1,0,1,1,http://mtgimage.com/card/bala ged scorpion.jpg
Bala Ged Thief,Black,Creature  Human Rogue Ally,{3}{B},"Whenever Bala Ged Thief or another Ally enters the battlefield under your control, target player reveals a number of cards from his or her hand equal to the number of Allies you control. You choose one of them. That player discards that card.",2,2,1,0,1,1,http://mtgimage.com/card/bala ged thief.jpg
Balduvian Dead,Black,Creature  Zombie,{3}{B},"{2}{R}, Exile a creature card from your graveyard: Put a 3/1 black and red Graveborn creature token with haste onto the battlefield. Sacrifice it at the beginning of the next end step.",2,3,0,0,1,1,http://mtgimage.com/card/balduvian dead.jpg
Balduvian Fallen,Black,Creature  Zombie,{3}{B},"Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
Whenever Balduvian Fallen's cumulative upkeep is paid, it gets +1/+0 until end of turn for each {B} or {R} spent this way.",3,5,1,0,1,1,http://mtgimage.com/card/balduvian fallen.jpg
Baleful Eidolon,Black,Enchantment Creature  Spirit,{1}{B},"Bestow {4}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Enchanted creature gets +1/+1 and has deathtouch.",1,1,1,1,1,1,http://mtgimage.com/card/baleful eidolon.jpg
Baleful Force,Black,Creature  Elemental,{5}{B}{B}{B},"At the beginning of each upkeep, you draw a card and you lose 1 life.",7,7,0,0,1,1,http://mtgimage.com/card/baleful force.jpg
Balthor the Defiled,Black,Legendary Creature  Zombie Dwarf,{2}{B}{B},"Minion creatures get +1/+1.
{B}{B}{B}, Exile Balthor the Defiled: Each player returns all black and all red creature cards from his or her graveyard to the battlefield.",2,2,0,0,1,1,http://mtgimage.com/card/balthor the defiled.jpg
Balustrade Spy,Black,Creature  Vampire Rogue,{3}{B},"Flying
When Balustrade Spy enters the battlefield, target player reveals cards from the top of his or her library until he or she reveals a land card, then puts those cards into his or her graveyard.",2,3,1,0,1,1,http://mtgimage.com/card/balustrade spy.jpg
Bane Alley Blackguard,Black,Creature  Human Rogue,{1}{B},,1,3,1,0,1,1,http://mtgimage.com/card/bane alley blackguard.jpg
Bane of the Living,Black,Creature  Insect,{2}{B}{B},"Morph {X}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When Bane of the Living is turned face up, all creatures get -X/-X until end of turn.",4,3,0,0,1,1,http://mtgimage.com/card/bane of the living.jpg
Baneful Omen,Black,Enchantment,{4}{B}{B}{B},"At the beginning of your end step, you may reveal the top card of your library. If you do, each opponent loses life equal to that card's converted mana cost.",,,1,0,1,1,http://mtgimage.com/card/baneful omen.jpg
Banewasp Affliction,Black,Enchantment  Aura,{1}{B},"Enchant creature
When enchanted creature dies, that creature's controller loses life equal to its toughness.",,,1,0,1,1,http://mtgimage.com/card/banewasp affliction.jpg
Banshee,Black,Creature  Spirit,{2}{B}{B},"{X}, {T}: Banshee deals half X damage, rounded down, to target creature or player, and half X damage, rounded up, to you.",0,1,0,0,1,1,http://mtgimage.com/card/banshee.jpg
Barbed-Back Wurm,Black,Creature  Wurm,{4}{B},{B}: Target green creature blocking Barbed-Back Wurm gets -1/-1 until end of turn.,4,3,0,0,1,1,http://mtgimage.com/card/barbed-back wurm.jpg
Baron Sengir,Black,Legendary Creature  Vampire,{5}{B}{B}{B},"Flying
Whenever a creature dealt damage by Baron Sengir this turn dies, put a +2/+2 counter on Baron Sengir.
{T}: Regenerate another target Vampire.",5,5,0,0,1,1,http://mtgimage.com/card/baron sengir.jpg
Barony Vampire,Black,Creature  Vampire,{2}{B},,3,2,1,0,1,1,http://mtgimage.com/card/barony vampire.jpg
Barrow Ghoul,Black,Creature  Zombie,{1}{B},"At the beginning of your upkeep, sacrifice Barrow Ghoul unless you exile the top creature card of your graveyard.",4,4,0,0,1,1,http://mtgimage.com/card/barrow ghoul.jpg
Barter in Blood,Black,Sorcery,{2}{B}{B},Each player sacrifices two creatures.,,,1,0,1,1,http://mtgimage.com/card/barter in blood.jpg
Basal Sliver,Black,Creature  Sliver,{2}{B},"All Slivers have ""Sacrifice this permanent: Add {B}{B} to your mana pool.""",2,2,1,0,1,1,http://mtgimage.com/card/basal sliver.jpg
Basal Thrull,Black,Creature  Thrull,{B}{B},"{T}, Sacrifice Basal Thrull: Add {B}{B} to your mana pool.",1,2,0,0,1,1,http://mtgimage.com/card/basal thrull.jpg
Basilica Screecher,Black,Creature  Bat,{1}{B},"Flying
Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)",1,2,1,0,1,1,http://mtgimage.com/card/basilica screecher.jpg
Battle Brawler,Black,Creature  Orc Warrior,{1}{B},"As long as you control a red or white permanent, Battle Brawler gets +1/+0 and has first strike.",2,2,1,1,1,1,http://mtgimage.com/card/battle brawler.jpg
Battlefield Percher,Black,Creature  Bird,{3}{B}{B},"Flying
Battlefield Percher can block only creatures with flying.
{1}{B}: Battlefield Percher gets +1/+1 until end of turn.",2,2,0,0,1,1,http://mtgimage.com/card/battlefield percher.jpg
Beacon of Unrest,Black,Sorcery,{3}{B}{B},Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.,,,1,0,1,1,http://mtgimage.com/card/beacon of unrest.jpg
Befoul,Black,Sorcery,{2}{B}{B},Destroy target land or nonblack creature. It can't be regenerated.,,,1,0,1,1,http://mtgimage.com/card/befoul.jpg
Belbe's Percher,Black,Creature  Bird,{2}{B},"Flying
Belbe's Percher can block only creatures with flying.",2,2,0,0,1,1,http://mtgimage.com/card/belbe's percher.jpg
Bellowing Fiend,Black,Creature  Spirit,{4}{B},"Flying
Whenever Bellowing Fiend deals damage to a creature, Bellowing Fiend deals 3 damage to that creature's controller and 3 damage to you.",3,3,0,0,1,1,http://mtgimage.com/card/bellowing fiend.jpg
Bellowing Saddlebrute,Black,Creature  Orc Warrior,{3}{B},"Raid  When Bellowing Saddlebrute enters the battlefield, you lose 4 life unless you attacked with a creature this turn.",4,5,1,1,1,1,http://mtgimage.com/card/bellowing saddlebrute.jpg
Bereavement,Black,Enchantment,{1}{B},"Whenever a green creature dies, its controller discards a card.",,,0,0,1,1,http://mtgimage.com/card/bereavement.jpg
Beseech the Queen,Black,Sorcery,{2/B}{2/B}{2/B},"({2/B} can be paid with any two mana or with {B}. This card's converted mana cost is 6.)
Search your library for a card with converted mana cost less than or equal to the number of lands you control, reveal it, and put it into your hand. Then shuffle your library.",,,1,0,1,1,http://mtgimage.com/card/beseech the queen.jpg
Betrayal of Flesh,Black,Instant,{5}{B},"Choose one 
 Destroy target creature.
 Return target creature card from your graveyard to the battlefield.
EntwineSacrifice three lands. (Choose both if you pay the entwine cost.)",,,1,0,1,1,http://mtgimage.com/card/betrayal of flesh.jpg
Big Game Hunter,Black,Creature  Human Rebel Assassin,{1}{B}{B},"When Big Game Hunter enters the battlefield, destroy target creature with power 4 or greater. It can't be regenerated.
Madness {B} (If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)",1,1,1,0,1,1,http://mtgimage.com/card/big game hunter.jpg
Bile Blight,Black,Instant,{B}{B},Target creature and all other creatures with the same name as that creature get -3/-3 until end of turn.,,,1,1,1,1,http://mtgimage.com/card/bile blight.jpg
Bile Urchin,Black,Creature  Spirit,{B},Sacrifice Bile Urchin: Target player loses 1 life.,1,1,1,0,1,1,http://mtgimage.com/card/bile urchin.jpg
Binding Agony,Black,Enchantment  Aura,{1}{B},"Enchant creature
Whenever enchanted creature is dealt damage, Binding Agony deals that much damage to that creature's controller.",,,0,0,1,1,http://mtgimage.com/card/binding agony.jpg
Bite of the Black Rose,Black,Sorcery,{3}{B},"Will of the council  Starting with you, each player votes for sickness or psychosis. If sickness gets more votes, creatures your opponents control get -2/-2 until end of turn. If psychosis gets more votes or the vote is tied, each opponent discards two cards.",,,0,0,1,1,http://mtgimage.com/card/bite of the black rose.jpg
Bitter Ordeal,Black,Sorcery,{2}{B},"Search target player's library for a card and exile it. Then that player shuffles his or her library.
Gravestorm (When you cast this spell, copy it for each permanent put into a graveyard this turn. You may choose new targets for the copies.)",,,1,0,1,1,http://mtgimage.com/card/bitter ordeal.jpg
Bitter Revelation,Black,Sorcery,{3}{B},Look at the top four cards of your library. Put two of them into your hand and the rest into your graveyard. You lose 2 life.,,,1,1,1,1,http://mtgimage.com/card/bitter revelation.jpg
Bitterblossom,Black,Tribal Enchantment  Faerie,{1}{B},"At the beginning of your upkeep, you lose 1 life and put a 1/1 black Faerie Rogue creature token with flying onto the battlefield.",,,1,0,1,1,http://mtgimage.com/card/bitterblossom.jpg
Bitterheart Witch,Black,Creature  Human Shaman,{4}{B},"Deathtouch
When Bitterheart Witch dies, you may search your library for a Curse card, put it onto the battlefield attached to target player, then shuffle your library.",1,2,1,0,1,1,http://mtgimage.com/card/bitterheart witch.jpg
Black Carriage,Black,Creature  Horse,{3}{B}{B},"Trample
Black Carriage doesn't untap during your untap step.
Sacrifice a creature: Untap Black Carriage. Activate this ability only during your upkeep.",4,4,0,0,1,1,http://mtgimage.com/card/black carriage.jpg
Black Cat,Black,Creature  Zombie Cat,{1}{B},"When Black Cat dies, target opponent discards a card at random.",1,1,1,1,1,1,http://mtgimage.com/card/black cat.jpg
Black Knight,Black,Creature  Human Knight,{B}{B},"First strike (This creature deals combat damage before creatures without first strike.)
Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)",2,2,1,0,1,1,http://mtgimage.com/card/black knight.jpg
Black Market,Black,Enchantment,{3}{B}{B},"Whenever a creature dies, put a charge counter on Black Market.
At the beginning of your precombat main phase, add {B} to your mana pool for each charge counter on Black Market.",,,0,0,1,1,http://mtgimage.com/card/black market.jpg
Black Oak of Odunos,Black,Creature  Zombie Treefolk,{2}{B},"Defender
{B}, Tap another untapped creature you control: Black Oak of Odunos gets +1/+1 until end of turn.",0,5,1,1,1,1,http://mtgimage.com/card/black oak of odunos.jpg
Black Poplar Shaman,Black,Creature  Treefolk Shaman,{2}{B},{2}{B}: Regenerate target Treefolk.,1,3,1,0,1,1,http://mtgimage.com/card/black poplar shaman.jpg
Black Sun's Zenith,Black,Sorcery,{X}{B}{B},Put X -1/-1 counters on each creature. Shuffle Black Sun's Zenith into its owner's library.,,,1,0,1,1,http://mtgimage.com/card/black sun's zenith.jpg
